store_id,date,day_of_week,hour,forecast_customers,is_peak_hour
S001,2026-05-03,Sunday,8,106,0
S001,2026-05-03,Sunday,9,124,0
S001,2026-05-03,Sunday,10,216,0
S001,2026-05-03,Sunday,11,119,0
S001,2026-05-03,Sunday,12,159,0
S001,2026-05-03,Sunday,13,188,0
S001,2026-05-03,Sunday,14,230,0
S001,2026-05-03,Sunday,15,187,0
S001,2026-05-03,Sunday,16,249,0
S001,2026-05-03,Sunday,17,351,1
S001,2026-05-03,Sunday,18,375,1
S001,2026-05-03,Sunday,19,346,1
S001,2026-05-03,Sunday,20,343,1
S001,2026-05-03,Sunday,21,122,0
S001,2026-05-04,Monday,8,76,0
S001,2026-05-04,Monday,9,165,0
S001,2026-05-04,Monday,10,178,0
S001,2026-05-04,Monday,11,98,0
S001,2026-05-04,Monday,12,101,0
S001,2026-05-04,Monday,13,70,0
S001,2026-05-04,Monday,14,114,0
S001,2026-05-04,Monday,15,145,0
S001,2026-05-04,Monday,16,135,0
S001,2026-05-04,Monday,17,228,1
S001,2026-05-04,Monday,18,234,1
S001,2026-05-04,Monday,19,254,1
S001,2026-05-04,Monday,20,220,1
S001,2026-05-04,Monday,21,92,0
S001,2026-05-05,Tuesday,8,99,0
S001,2026-05-05,Tuesday,9,109,0
S001,2026-05-05,Tuesday,10,102,0
S001,2026-05-05,Tuesday,11,142,0
S001,2026-05-05,Tuesday,12,159,0
S001,2026-05-05,Tuesday,13,126,0
S001,2026-05-05,Tuesday,14,145,0
S001,2026-05-05,Tuesday,15,91,0
S001,2026-05-05,Tuesday,16,109,0
S001,2026-05-05,Tuesday,17,267,1
S001,2026-05-05,Tuesday,18,258,1
S001,2026-05-05,Tuesday,19,234,1
S001,2026-05-05,Tuesday,20,264,1
S001,2026-05-05,Tuesday,21,157,0
S001,2026-05-06,Wednesday,8,123,0
S001,2026-05-06,Wednesday,9,122,0
S001,2026-05-06,Wednesday,10,107,0
S001,2026-05-06,Wednesday,11,127,0
S001,2026-05-06,Wednesday,12,109,0
S001,2026-05-06,Wednesday,13,110,0
S001,2026-05-06,Wednesday,14,147,0
S001,2026-05-06,Wednesday,15,116,0
S001,2026-05-06,Wednesday,16,139,0
S001,2026-05-06,Wednesday,17,244,1
S001,2026-05-06,Wednesday,18,248,1
S001,2026-05-06,Wednesday,19,263,1
S001,2026-05-06,Wednesday,20,246,1
S001,2026-05-06,Wednesday,21,169,0
S001,2026-05-07,Thursday,8,71,0
S001,2026-05-07,Thursday,9,125,0
S001,2026-05-07,Thursday,10,105,0
S001,2026-05-07,Thursday,11,96,0
S001,2026-05-07,Thursday,12,164,0
S001,2026-05-07,Thursday,13,112,0
S001,2026-05-07,Thursday,14,98,0
S001,2026-05-07,Thursday,15,114,0
S001,2026-05-07,Thursday,16,117,0
S001,2026-05-07,Thursday,17,247,1
S001,2026-05-07,Thursday,18,257,1
S001,2026-05-07,Thursday,19,233,1
S001,2026-05-07,Thursday,20,238,1
S001,2026-05-07,Thursday,21,79,0
S001,2026-05-08,Friday,8,107,0
S001,2026-05-08,Friday,9,79,0
S001,2026-05-08,Friday,10,128,0
S001,2026-05-08,Friday,11,115,0
S001,2026-05-08,Friday,12,156,0
S001,2026-05-08,Friday,13,92,0
S001,2026-05-08,Friday,14,109,0
S001,2026-05-08,Friday,15,123,0
S001,2026-05-08,Friday,16,131,0
S001,2026-05-08,Friday,17,252,1
S001,2026-05-08,Friday,18,225,1
S001,2026-05-08,Friday,19,256,1
S001,2026-05-08,Friday,20,226,1
S001,2026-05-08,Friday,21,84,0
S001,2026-05-09,Saturday,8,211,0
S001,2026-05-09,Saturday,9,239,0
S001,2026-05-09,Saturday,10,107,0
S001,2026-05-09,Saturday,11,116,0
S001,2026-05-09,Saturday,12,191,0
S001,2026-05-09,Saturday,13,107,0
S001,2026-05-09,Saturday,14,117,0
S001,2026-05-09,Saturday,15,161,0
S001,2026-05-09,Saturday,16,110,0
S001,2026-05-09,Saturday,17,319,1
S001,2026-05-09,Saturday,18,339,1
S001,2026-05-09,Saturday,19,338,1
S001,2026-05-09,Saturday,20,318,1
S001,2026-05-09,Saturday,21,204,0
S002,2026-05-03,Sunday,8,70,0
S002,2026-05-03,Sunday,9,63,0
S002,2026-05-03,Sunday,10,44,0
S002,2026-05-03,Sunday,11,46,0
S002,2026-05-03,Sunday,12,66,0
S002,2026-05-03,Sunday,13,76,0
S002,2026-05-03,Sunday,14,63,0
S002,2026-05-03,Sunday,15,68,0
S002,2026-05-03,Sunday,16,70,0
S002,2026-05-03,Sunday,17,127,1
S002,2026-05-03,Sunday,18,118,1
S002,2026-05-03,Sunday,19,126,1
S002,2026-05-03,Sunday,20,125,1
S002,2026-05-03,Sunday,21,77,0
S002,2026-05-04,Monday,8,24,0
S002,2026-05-04,Monday,9,42,0
S002,2026-05-04,Monday,10,32,0
S002,2026-05-04,Monday,11,43,0
S002,2026-05-04,Monday,12,51,0
S002,2026-05-04,Monday,13,24,0
S002,2026-05-04,Monday,14,46,0
S002,2026-05-04,Monday,15,23,0
S002,2026-05-04,Monday,16,35,0
S002,2026-05-04,Monday,17,77,1
S002,2026-05-04,Monday,18,79,1
S002,2026-05-04,Monday,19,79,1
S002,2026-05-04,Monday,20,83,1
S002,2026-05-04,Monday,21,24,0
S002,2026-05-05,Tuesday,8,44,0
S002,2026-05-05,Tuesday,9,28,0
S002,2026-05-05,Tuesday,10,44,0
S002,2026-05-05,Tuesday,11,53,0
S002,2026-05-05,Tuesday,12,30,0
S002,2026-05-05,Tuesday,13,47,0
S002,2026-05-05,Tuesday,14,37,0
S002,2026-05-05,Tuesday,15,24,0
S002,2026-05-05,Tuesday,16,46,0
S002,2026-05-05,Tuesday,17,75,1
S002,2026-05-05,Tuesday,18,76,1
S002,2026-05-05,Tuesday,19,87,1
S002,2026-05-05,Tuesday,20,83,1
S002,2026-05-05,Tuesday,21,32,0
S002,2026-05-06,Wednesday,8,28,0
S002,2026-05-06,Wednesday,9,34,0
S002,2026-05-06,Wednesday,10,40,0
S002,2026-05-06,Wednesday,11,37,0
S002,2026-05-06,Wednesday,12,39,0
S002,2026-05-06,Wednesday,13,32,0
S002,2026-05-06,Wednesday,14,34,0
S002,2026-05-06,Wednesday,15,25,0
S002,2026-05-06,Wednesday,16,49,0
S002,2026-05-06,Wednesday,17,79,1
S002,2026-05-06,Wednesday,18,83,1
S002,2026-05-06,Wednesday,19,77,1
S002,2026-05-06,Wednesday,20,88,1
S002,2026-05-06,Wednesday,21,39,0
S002,2026-05-07,Thursday,8,21,0
S002,2026-05-07,Thursday,9,27,0
S002,2026-05-07,Thursday,10,55,0
S002,2026-05-07,Thursday,11,45,0
S002,2026-05-07,Thursday,12,41,0
S002,2026-05-07,Thursday,13,40,0
S002,2026-05-07,Thursday,14,39,0
S002,2026-05-07,Thursday,15,38,0
S002,2026-05-07,Thursday,16,36,0
S002,2026-05-07,Thursday,17,73,1
S002,2026-05-07,Thursday,18,84,1
S002,2026-05-07,Thursday,19,77,1
S002,2026-05-07,Thursday,20,81,1
S002,2026-05-07,Thursday,21,25,0
S002,2026-05-08,Friday,8,41,0
S002,2026-05-08,Friday,9,32,0
S002,2026-05-08,Friday,10,47,0
S002,2026-05-08,Friday,11,42,0
S002,2026-05-08,Friday,12,50,0
